Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0,1.94E-05,991.3,0,91.22, -,9.023726
0.05,8.33699,991,7.952381,91.22, -,9.023726
0.1,19.45726,990.6,18.52381,91.22, -,9.023726
0.15,25.01706,990.4,23.80952,91.22, -,9.023726
0.2,33.36187,990.1,31.76191,91.22, -,9.023726
0.25,47.27216,989.6,45,91.22, -,9.023726
0.3,55.62072,989.3,52.95238,91.22, -,9.023726
0.35,61.18814,989.1,58.23809,91.22, -,9.023726
0.4,72.32401,988.7,68.85714,91.22, -,9.023726
0.45,86.25025,988.2,82.14286,91.22, -,9.023726
0.5,94.6084,987.9,90.09524,91.22, -,9.023726
0.55,111.3326,987.3,106,91.04, -,9.004278
0.6,125.2748,986.8,119.2857,91.04, -,9.004278
0.65,139.2227,986.3,132.5714,91.04, -,9.004278
0.7,158.7598,985.6,151.1905,91.04, -,9.004278
0.75,181.101,984.8,172.4762,91.04, -,9.004278
0.8,195.0719,984.3,185.7619,91.04, -,9.004278
0.85,206.2517,983.9,196.4286,91.04, -,9.004278
0.9,217.4369,983.5,207.0952,91.04, -,9.004278
0.95,234.22,982.9,223.0952,91.04, -,9.004278
1,248.2127,982.4,236.4286,91.04, -,9.004278
1.05,265.0127,981.8,252.4286,91.04, -,9.004278
1.1,279.0181,981.3,257.8095,91.04, -,9.004278
1.15,290.2256,980.9,257.9048,91.04, -,9.004278
1.2,301.4385,980.5,263.2857,91.04, -,9.004278
1.25,315.459,980,268.6667,91.04, -,9.004278
1.3,329.4853,979.5,268.8095,91.04, -,9.004278
1.35,346.3239,978.9,276.9048,91.04, -,9.004278
1.4,363.1724,978.3,287.6667,91.04, -,9.004278
1.45,374.4078,977.9,287.7619,91.04, -,9.004278
1.5,399.7039,977,298.5714,91.22, -,9.023726
1.55,419.3915,976.3,309.381,91.22, -,9.023726
1.6,436.2747,975.7,309.5714,91.22, -,9.023726
1.65,455.9835,975,315.0476,91.22, -,9.023726
1.7,472.8849,974.4,317.8571,91.22, -,9.023726
1.75,492.6151,973.7,318.0476,91.22, -,9.023726
1.8,509.5365,973.1,312.8571,91.22, -,9.023726
1.85,532.1099,972.3,321.0476,91.22, -,9.023726
1.9,551.8745,971.6,329.1905,91.22, -,9.023726
1.95,577.3017,970.7,342.7619,91.22, -,9.023726
2,599.9202,969.9,348.2857,91.22, -,9.023726
2.05,622.5556,969.1,356.5238,91.22, -,9.023726
2.1,648.0359,968.2,364.8095,91.22, -,9.023726
2.15,673.5371,967.3,375.7619,91.22, -,9.023726
2.2,690.5474,966.7,381.2857,91.22, -,9.023726
2.25,710.4048,966,389.5238,91.22, -,9.023726
2.3,730.2737,965.3,395.0952,91.22, -,9.023726
2.35,755.8353,964.4,406.0476,91.22, -,9.023726
2.4,775.731,963.7,408.9524,91.22, -,9.023726
2.45,801.3286,962.8,417.2857,91.22, -,9.023726
2.5,826.9439,961.9,430.9524,91.22, -,9.023726
2.55,849.7316,961.1,428.5714,91.04, -,9.023726
2.6,872.533,960.3,431.5238,91.04, -,9.023726
2.65,895.3498,959.5,437.1429,91.04, -,9.023726
2.7,918.1819,958.7,440.1429,91.04, -,9.023726
2.75,943.8877,957.8,448.5238,91.04, -,9.023726
2.8,969.6112,956.9,454.1905,91.04, -,9.023726
2.85,998.2171,955.9,465.3333,91.04, -,9.023726
2.9,1023.984,955,468.381,91.04, -,9.023726
2.95,1052.636,954,476.8571,91.04, -,9.023726
3,1075.574,953.2,474.4762,91.04, -,9.023726
3.05,1095.659,952.5,472.0952,91.04, -,9.023726
3.1,1112.883,951.9,466.9048,91.04, -,9.023726
3.15,1135.865,951.1,464.5238,91.04, -,9.023726
3.2,1161.735,950.2,464.8571,91.04, -,9.023726
3.25,1187.627,949.3,473.3333,91.04, -,9.023726
3.3,1210.658,948.5,476.381,91.04, -,9.023726
3.35,1236.587,947.6,482.1905,91.04, -,9.023726
3.4,1259.651,946.8,479.8095,91.04, -,9.023726
3.45,1274.075,946.3,474.5714,91.04, -,9.023726
3.5,1297.164,945.5,472.1905,91.22, -,9.004278
3.55,1320.27,944.7,469.8095,91.22, -,9.004278
3.6,1343.392,943.9,470.0952,91.22, -,9.004278
3.65,1375.211,942.8,478.6667,91.22, -,9.004278
3.7,1398.37,942,479,91.22, -,9.004278
3.75,1424.445,941.1,482.0476,91.22, -,9.004278
3.8,1447.638,940.3,479.6667,91.22, -,9.004278
3.85,1470.847,939.5,477.2857,91.22, -,9.004278
3.9,1496.977,938.6,474.9524,91.22, -,9.004278
3.95,1520.22,937.8,472.5714,91.22, -,9.004278
4,1543.48,937,467.4286,91.22, -,9.004278
4.05,1569.667,936.1,470.5238,91.22, -,9.004278
4.1,1592.96,935.3,473.5714,91.22, -,9.004278
4.15,1619.184,934.4,482.1429,91.22, -,9.004278
4.2,1639.595,933.7,479.6667,91.22, -,9.004278
4.25,1662.937,932.9,477.2857,91.22, -,9.004278
4.3,1683.375,932.2,472.0952,91.22, -,9.004278
4.35,1712.594,931.2,477.9524,91.22, -,9.004278
4.4,1735.986,930.4,475.5238,91.22, -,9.004278
4.45,1765.251,929.4,481.4286,91.22, -,9.004278
4.5,1791.611,928.5,492.8095,91.22, -,9.004278
4.55,1817.992,927.6,495.9524,91.04, -,9.023726
4.6,1841.458,926.8,496.2857,91.04, -,9.023726
4.65,1864.941,926,496.6667,91.04, -,9.023726
4.7,1888.44,925.2,488.7619,91.04, -,9.023726
4.75,1911.955,924.4,489.0952,91.04, -,9.023726
4.8,1929.604,923.8,481.0952,91.04, -,9.023726
4.85,1953.148,923,481.4286,91.04, -,9.023726
4.9,1973.764,922.3,478.9524,91.04, -,9.023726
4.95,1997.339,921.5,476.5238,91.04, -,9.023726
5,2017.982,920.8,474.0476,91.04, -,9.023726
5.05,2044.54,919.9,477.1905,91.04, -,9.023726
5.1,2065.211,919.2,471.9048,91.04, -,9.023726
5.15,2088.851,918.4,472.2381,91.04, -,9.023726
5.2,2109.55,917.7,467,91.04, -,9.023726
5.25,2136.182,916.8,472.9524,91.04, -,9.023726
5.3,2156.911,916.1,470.4762,91.04, -,9.023726
5.35,2180.615,915.3,473.5714,91.04, -,9.023726
5.4,2201.371,914.6,465.5238,91.04, -,9.023726
5.45,2213.236,914.2,454.5238,91.04, -,9.023726
5.5,2239.951,913.3,452.0952,91.22, -,9.043174
5.55,2263.714,912.5,449.619,91.22, -,9.043174
5.6,2284.522,911.8,444.2857,91.22, -,9.043174
5.65,2305.342,911.1,441.7619,91.22, -,9.043174
5.7,2323.198,910.5,436.381,91.22, -,9.043174
5.75,2347.02,909.7,436.6667,91.22, -,9.043174
5.8,2364.899,909.1,431.3333,91.22, -,9.043174
5.85,2388.752,908.3,437.2381,91.22, -,9.043174
5.9,2406.652,907.7,431.8571,91.22, -,9.043174
5.95,2427.548,907,432.1429,91.22, -,9.043174
6,2448.458,906.3,429.5714,91.22, -,9.043174
6.05,2472.37,905.5,432.6667,91.22, -,9.043174
6.1,2493.307,904.8,427.3333,91.22, -,9.043174
6.15,2514.258,904.1,427.619,91.22, -,9.043174
6.2,2535.22,903.4,425.0476,91.22, -,9.043174
6.25,2556.198,902.7,425.3333,91.22, -,9.043174
6.3,2574.189,902.1,417.0952,91.22, -,9.043174
6.35,2595.189,901.4,417.3333,91.22, -,9.043174
